,Name,B,F,G,Var,HD,HIP,RA,Dec,vis_mag,Dist.,Sp.class,Notes
108,U Aql,,,50,U,183344,95820,19h 29m 21.36s,−07° 02′ 38.6″,6.37,1590,F5-G1I-II,"Cepheid variable, Vmax = 6.08m, Vmin = 6.86m, P = 7.02393 d"
109,61 G. Aql,,,61,,184663,96351,19h 35m 25.13s,+02° 54′ 48.5″,6.37,137,F6IV,
110,,,,,,184944,96428,19h 36m 15.68s,+14° 23′ 28.2″,6.37,354,K0II-III,
111,V1472 Aql,,,,V1472,190658,98954,20h 05m 26.53s,+15° 30′ 01.3″,6.37,749,M2 comp,"eclipsing variable, ΔV = ~0.16m"
112,V1401 Aql,,(64),108,V1401,190390,98910,20h 05m 05.42s,−11° 35′ 57.8″,6.38,1273,F1III,"64 Sagittarii; semiregular variable, Vmax = 6.18m, Vmin = 6.55m"
113,24 Aql,,24,36,,181053,94913,19h 18m 50.93s,+00° 20′ 20.4″,6.40,488,K0II-III:..,multiple star
114,136 G. Aql,,,136,,194263,100672,20h 24m 41.75s,+01° 22′ 07.0″,6.41,865,K5,
115,75 G. Aql,,,75,,186535,97144,19h 44m 41.27s,+08° 43′ 35.7″,6.43,398,K0,
116,HD 191104,,,114,,191104,99158,20h 07m 50.34s,+09° 23′ 59.1″,6.43,141,F3V,double star
117,,,,,,187203,97454,19h 48m 30.51s,+10° 41′ 38.8″,6.44,1762,F8Ib-II,
118,HD 192699,,,128,,192699,99894,20h 16m 06.03s,+04° 34′ 51.3″,6.44,220,G8IV,"Chechia,[3] has a planet (b)"
119,HD 179791,,,30,,179791,94478,19h 13m 44.02s,+05° 30′ 56.3″,6.47,598,A3V,suspected variable
120,77 G. Aql,,,77,,186660,97244,19h 45m 52.23s,−02° 53′ 00.4″,6.47,1087,B3III,
121,87 G. Aql,,,87,,187734,97709,19h 51m 26.84s,+04° 05′ 19.1″,6.47,,K0...,double star
122,110 G. Aql,,,110,,190664,99024,20h 06m 12.19s,−04° 04′ 41.2″,6.47,341,K0,
123,122 G. Aql,,,122,,192086,99624,20h 13m 04.43s,−00° 19′ 50.9″,6.47,1567,K5,
124,142 G. Aql,,,142,,195617,101339,20h 32m 20.40s,+02° 07′ 58.1″,6.47,1132,K2,
125,V1339 Aql,,,84,V1339,187567,97607,19h 50m 17.48s,+07° 54′ 08.7″,6.49,1552,B2.5IVe,"Be star; γ Cas variable, Vmax = 6.33m, Vmin = 6.52m"
126,57 Aql B,,57,,,188294,97967,19h 54m 38.06s,−08° 14′ 13.1″,6.49,361,B8V,component of the 57 Aql system
127,HD 188405,,,97,,188405,98038,19h 55m 19.49s,−06° 44′ 04.7″,6.49,279,F2V,double star
128,V1691 Aql,,,45,V1691,182475,95453,19h 25m 01.51s,−04° 53′ 04.4″,6.50,329,A9V,"δ Sct variable, ΔV = 0.04m, P = 0.0781 d"
129,V Aql,,,,V,177336,93666,19h 04m 24.15s,−05° 41′ 05.4″,6.78,1207,"C5,4 – C6,4(N6)","carbon star; semiregular variable, Vmax = 6.6m, Vmin = 8.4m, P = 353 d"
130,TT Aql,,,,TT,178359,93990,19h 08m 13.75s,+01° 17′ 55.2″,7.10,7951,F6-G5,"Cepheid variable, Vmax = 6.46m, Vmin = 7.70m, P = 13.7546 d"
131,HD 186641,,,,,186641,97233,19h 45m 41.0s,−00° 41′ 48″,7.34,347,K0,has a planet (b)
132,V604 Aql,,,,V604,,,19h 02m 6.33s,−04° 26′ 43.2″,7.6,,pec(NOVA) – e+cont,"Nova Aquilae; Vmax = 7.6m, Vmin = 18.0m"
133,HD 183263,,,,,183263,95740,19h 28m 24.57s,+08° 21′ 29.0″,7.86,172,G2IV,has two planets (b & c)
134,HD 179079,,,,,179079,94256,19h 11m 09.83s,−02° 38′ 18.2″,7.96,208,G5IV,has a planet (b)
135,V1703 Aql,,,,V1703,192263,99711,20h 13m 59.85s,−00° 52′ 00.8″,8.10,65,K2V,"Phoenicia,[4] double star; has a planet (b); BY Draconis variable, ΔV = 0.03m, P = 23.98 d"
136,HD 176986l,,,,,176986,93540,19h 03m 06.0s,−11° 02′ 38″,8.45,86,K2.5V,has two planets (b & c)
137,HD 181234,,,,,181234,95015,19h 20m 00.0s,−09° 19′ 25″,8.59,156,G5,has a planet (b)
138,Gliese 726,,,,,173818,92200,18h 47m 27s,−03° 38′ 23″,8.70,46.07,K5V,
139,V1494 Aql,,,,V1494,,,19h 23m 5.38s,+04° 57′ 20.1″,8.8,,pec(NOVA) – e+cont,"Nova Aquilae; Vmax = 5.03m, Vmin = 16.0m"
140,WASP-74,,,,,,,20h 18m 10.0s,−01° 04′ 33″,9.7,391,F9,has a transiting planet (b)
141,HAT-P-41,,,,,,,19h 49m 17.0s,+04° 40′ 21″,11.09,1014,,has a transiting planet (b)
142,V603 Aql,,,,V603,174107,92316,18h 48m 54.64s,+00° 35′ 02.9″,11.64,776,pec(NOVA) – e+cont,"Nova Aquilae 1918; Vmax = −1.4m, Vmin = 12.03m"
143,WASP-80,,,,,,,20h 12m 40.0s,−02° 08′ 44″,11.88,196,,"Petra,[5] has a transiting planet (b)"
144,IRC -10414,,,,,,,19h 42m 37.90s,+11° 50′ 31.0″,12.0,"6,520",M7 I,
145,χ Aql B,χ,47,,,186204,,19h 42m 37.90s,+11° 50′ 31.0″,12.30,800,G0:+A3V,component of the χ Aql system
146,COROT-2,,,,,,,19h 27m 07s,+01° 23′ 02″,12.57,930,G7V,has a transiting planet (b)
147,COROT-3,,,,,,,19h 28m 13.27s,+00° 07′ 18.6″,13.3,2200,F3V,has a transiting brown dwarf (b)
148,SS 433,,,,V1343,,,19h 11m 49.56s,+04° 58′ 57.6″,14.2,15093,A7Ib,Sanduleak-Stephenson Star; eclipsing X-ray binary
149,COROT-8,,,,,,,19h 26m 21.24s,+01° 25′ 35.2″,14.80,~1250,K1V,has a transiting planet (b)
150,COROT-10,,,,,,,19h 24m 15.30s,+00° 44′ 46.0″,15.22,~1130,K1V,has a transiting planet (b)
151,VB 10,,,,,,,19h 16m 57.62s,+05° 09′ 02.2″,17.30,19,M8V,van Biesbroeck's Star; has a planet (b)
152,V606 Aql,,,,V606,,,19h 20m 24.3s,−00° 08′ 7.0″,,700,pec(NOVA) – e+cont,"Nova Aquilae; Vmax = 5.5m, Vmin = 17.3m"
153,W50 (nebula),,,,,,,19h 11m 49s,−04° 59′ 12.0″,,16000,,Supernova remnant
